gene,class,class_helper
CoxL,c__Deinococci,c__Deinococci
CoxL,c__Terriglobia,c__Terriglobia
CoxL,c__Acidimicrobiia,c__Acidimicrobiia
CoxL,c__Rhodothermia,c__Rhodothermia
CoxL,c__Gammaproteobacteria,c__Gammaproteobacteria
CoxL,c__Myxococcia,c__Myxococcia
CoxL,c__Thermoleophilia,c__Thermoleophilia
CoxL,c__Alphaproteobacteria,c__Alphaproteobacteria
CoxL,c__Actinomycetia,c__Actinomycetia
NiFe,c__Alphaproteobacteria,c__Alphaproteobacteria
NiFe,c__Planctomycetia,c__Planctomycetia
NiFe,c__Gammaproteobacteria,c__Gammaproteobacteria
NiFe,c__Terriglobia,c__Terriglobia
NiFe,c__Thermoleophilia,c__Thermoleophilia
NiFe,c__Actinomycetia,c__Actinomycetia
PmoA,c__Gammaproteobacteria,c__Gammaproteobacteria
PmoA,c__Alphaproteobacteria,c__Alphaproteobacteria
