time	replicate	inc_temp	ppmv	nmol_l	gas	soil_type
0	1	19	13.90915921	580.199792258399	H2	warmed
1	1	19	10.02027091	417.980627914236	H2	warmed
2	1	19	8.501444521	354.625054649907	H2	warmed
4	1	19	6.463595957	269.619246920219	H2	warmed
8	1	19	3.404714535	142.022579228651	H2	warmed
24	1	19	0.46122017	NA	H2	warmed
48	1	19	0.2710897	NA	H2	warmed
72	1	19	0.237943132	NA	H2	warmed
120	1	19	0.16615369	NA	H2	warmed
240	1	19	0.17137525	NA	H2	warmed
360	1	19	0.17349581	NA	H2	warmed
480	1	19	-0.0213785	NA	H2	warmed
600	1	19	-0.1130166	NA	H2	warmed
720	1	19	-0.033041	NA	H2	warmed
840	1	19	0.03462166	NA	H2	warmed
0	2	19	12.72803852	530.931107600781	H2	warmed
1	2	19	10.94373247	456.501446978943	H2	warmed
2	2	19	9.930890523	414.252258629909	H2	warmed
4	2	19	8.580993703	357.943329908237	H2	warmed
8	2	19	6.114334092	255.050310116973	H2	warmed
24	2	19	1.297073919	NA	H2	warmed
48	2	19	0.332209248	NA	H2	warmed
72	2	19	0.379913075	NA	H2	warmed
120	2	19	0.31081434	NA	H2	warmed
240	2	19	0.31909028	NA	H2	warmed
360	2	19	0.33853249	NA	H2	warmed
480	2	19	-0.0127912	NA	H2	warmed
600	2	19	-0.1399535	NA	H2	warmed
720	2	19	0.07461961	NA	H2	warmed
840	2	19	0.02417461	NA	H2	warmed
0	4	19	12.29653421	512.931550097649	H2	warmed
1	4	19	8.867760199	369.905365779266	H2	warmed
2	4	19	6.557410445	273.53257810197	H2	warmed
4	4	19	3.764029843	157.010880383978	H2	warmed
8	4	19	1.055891846	44.0449505571902	H2	warmed
24	4	19	0.277951214	NA	H2	warmed
48	4	19	0.236534534	NA	H2	warmed
72	4	19	0.219154841	NA	H2	warmed
120	4	19	0.34603266	NA	H2	warmed
240	4	19	0.32471071	NA	H2	warmed
360	4	19	0.21015199	NA	H2	warmed
480	4	19	-0.0439859	NA	H2	warmed
600	4	19	-0.0283374	NA	H2	warmed
720	4	19	-0.0099165	NA	H2	warmed
840	4	19	0.03170449	NA	H2	warmed
0	5	19	12.33116038	514.375929037985	H2	warmed
1	5	19	6.824117678	284.657871791121	H2	warmed
2	5	19	3.738234827	155.93487983653	H2	warmed
4	5	19	1.335266416	55.6986432807405	H2	warmed
8	5	19	0.43116567	NA	H2	warmed
24	5	19	0.263548336	NA	H2	warmed
48	5	19	0.441456773	NA	H2	warmed
72	5	19	0.243944075	NA	H2	warmed
120	5	19	0.33775366	NA	H2	warmed
