time	replicate	soil_type	inc_temp	ppmv	gas	group	nmol_l
0	1	Heat-Killed	19	NA	H2	1_Heat-Killed_19_H2	NA
1	1	Heat-Killed	19	11.6539764	H2	1_Heat-Killed_19_H2	486.12803884007707
2	1	Heat-Killed	19	11.5152601	H2	1_Heat-Killed_19_H2	480.3416977184191
4	1	Heat-Killed	19	11.5346738	H2	1_Heat-Killed_19_H2	481.151510917254
8	1	Heat-Killed	19	11.5238319	H2	1_Heat-Killed_19_H2	480.6992574199583
24	1	Heat-Killed	19	11.5899254	H2	1_Heat-Killed_19_H2	483.45624803262825
48	1	Heat-Killed	19	11.6181913	H2	1_Heat-Killed_19_H2	484.6353173958586
0	2	Heat-Killed	19	12.6087359	H2	2_Heat-Killed_19_H2	525.9543905820398
1	2	Heat-Killed	19	12.3316842	H2	2_Heat-Killed_19_H2	514.3975970074184
2	2	Heat-Killed	19	12.3771681	H2	2_Heat-Killed_19_H2	516.2948892574524
4	2	Heat-Killed	19	12.3846182	H2	2_Heat-Killed_19_H2	516.6056589362173
8	2	Heat-Killed	19	12.4004445	H2	2_Heat-Killed_19_H2	517.265829157696
24	2	Heat-Killed	19	12.3995916	H2	2_Heat-Killed_19_H2	517.2302517212831
48	2	Heat-Killed	19	12.4117401	H2	2_Heat-Killed_19_H2	517.7370080658256
0	1	Heat-Killed	13	11.27188796	H2	1_Heat-Killed_13_H2	470.189796164327
1	1	Heat-Killed	13	11.31030775	H2	1_Heat-Killed_13_H2	471.79241972595935
2	1	Heat-Killed	13	11.22458395	H2	1_Heat-Killed_13_H2	468.21658077231956
4	1	Heat-Killed	13	11.28526806	H2	1_Heat-Killed_13_H2	470.7479268442968
8	1	Heat-Killed	13	11.27670132	H2	1_Heat-Killed_13_H2	470.3905782130217
24	1	Heat-Killed	13	11.70201745	H2	1_Heat-Killed_13_H2	488.1319987434383
48	1	Heat-Killed	13	11.78442233	H2	1_Heat-Killed_13_H2	491.56939395776635
0	2	Heat-Killed	13	11.47407288	H2	2_Heat-Killed_13_H2	478.62363499058694
1	2	Heat-Killed	13	11.46157222	H2	2_Heat-Killed_13_H2	478.1021888230792
2	2	Heat-Killed	13	11.39865147	H2	2_Heat-Killed_13_H2	475.47754468875206
4	2	Heat-Killed	13	11.3438005	H2	2_Heat-Killed_13_H2	473.18951924924835
8	2	Heat-Killed	13	11.23084497	H2	2_Heat-Killed_13_H2	468.47774977329146
24	2	Heat-Killed	13	10.87652379	H2	2_Heat-Killed_13_H2	453.6977764456553
48	2	Heat-Killed	13	10.29083855	H2	2_Heat-Killed_13_H2	429.2668005000733
0	1	Blank	19	12.79226735	H2	1_Blank_19_H2	533.6101280566735
1	1	Blank	19	12.7362712	H2	1_Blank_19_H2	531.2743331616284
2	1	Blank	19	12.72915396	H2	1_Blank_19_H2	530.9774482354538
4	1	Blank	19	12.71393482	H2	1_Blank_19_H2	530.3426047771273
8	1	Blank	19	12.70980361	H2	1_Blank_19_H2	530.1702775862693
24	1	Blank	19	12.67405683	H2	1_Blank_19_H2	528.6791546030232
48	1	Blank	19	12.52798202	H2	1_Blank_19_H2	522.5858643412345
0	2	Blank	19	12.7635308	H2	2_Blank_19_H2	532.4114262389377
1	2	Blank	19	12.68403703	H2	2_Blank_19_H2	529.0954635851859
2	2	Blank	19	12.68456681	H2	2_Blank_19_H2	529.1175625584099
4	2	Blank	19	12.65330979	H2	2_Blank_19_H2	527.8137231381941
8	2	Blank	19	12.67491839	H2	2_Blank_19_H2	528.7150932782674
24	2	Blank	19	12.62746829	H2	2_Blank_19_H2	526.7357839623702
48	2	Blank	19	12.48714079	H2	2_Blank_19_H2	520.8822340641286
0	1	Heat-Killed	19	NA	CH4	1_Heat-Killed_19_CH4	NA
1	1	Heat-Killed	19	12.3295041	CH4	1_Heat-Killed_19_CH4	514.3066574258456
2	1	Heat-Killed	19	12.3230517	CH4	1_Heat-Killed_19_CH4	514.0375052969799
4	1	Heat-Killed	19	11.857206	CH4	1_Heat-Killed_19_CH4	494.6054549160401
8	1	Heat-Killed	19	12.4209833	CH4	1_Heat-Killed_19_CH4	518.1225742051741
24	1	Heat-Killed	19	11.8084922	CH4	1_Heat-Killed_19_CH4	492.5734322616569
48	1	Heat-Killed	19	12.3251262	CH4	1_Heat-Killed_19_CH4	514.1240399339106
72	1	Heat-Killed	19	12.6928755	CH4	1_Heat-Killed_19_CH4	529.464147023351
120	1	Heat-Killed	19	12.3863612	CH4	1_Heat-Killed_19_CH4	516.6783655509054
240	1	Heat-Killed	19	11.9738045	CH4	1_Heat-Killed_19_CH4	499.469185388044
360	1	Heat-Killed	19	12.2233673	CH4	1_Heat-Killed_19_CH4	509.87932098188634
480	1	Heat-Killed	19	12.5340757	CH4	1_Heat-Killed_19_CH4	522.8400530066344
0	2	Heat-Killed	19	12.9981884	CH4	2_Heat-Killed_19_CH4	542.1998139077954
1	2	Heat-Killed	19	12.9419096	CH4	2_Heat-Killed_19_CH4	539.8522286945396
2	2	Heat-Killed	19	12.2558984	CH4	2_Heat-Killed_19_CH4	511.2363067266241
4	2	Heat-Killed	19	12.3714517	CH4	2_Heat-Killed_19_CH4	516.0564382579098
8	2	Heat-Killed	19	12.7865342	CH4	2_Heat-Killed_19_CH4	533.3709783561578
24	2	Heat-Killed	19	12.524388	CH4	2_Heat-Killed_19_CH4	522.4359452205683
