site	plot_no	experiment	run_id	depth	vol_gas	sample_type	closuretime_min	closuretime_sec	delta_ch4	delta_co2	conc_ch4_total	conc_co2_total	comment_1	year	month	week	year_week	year_month	dil_factor_ch4_pred	dil_factor_co2_pred	conc_ch4_dilcorr	conc_co2_dilcorr	ref_delta_ch4_mean	ref_ch4_mean	ref_delta_co2_mean	ref_co2_mean	ref_delta_ch4_offset	ref_delta_co2_offset	delta_ch4_driftcorr	delta_co2_driftcorr	delta_offset_ch4_pred	delta_offset_co2_pred	delta_ch4_conccorr	delta_co2_conccorr	site_depth
GOA	1	soil profile	3	5	NA	soil gas	NA	NA	-47.8240534	-19.61009462	1.573761498	1281.094985	for CH4	2022	8	33	2022_33	2022_8	0.891942056	0.883603347	1.764421228	1449.853025	-42.68702794	8.82964676	-33.68538711	1693.232805	-1.187027938	1.914612888	-46.63702546	-21.52470751	-2.6222295349999998	0.236384814	-44.01479593	-21.76109232	GOA_5
GOA	1	soil profile	3	10	NA	soil gas	NA	NA	-51.64962385	-6.302636695	1.816589121	401.7665065	for CH4	2022	8	33	2022_33	2022_8	0.891942056	0.883603347	2.03666719	454.6910195	-42.68702794	8.82964676	-33.68538711	1693.232805	-1.187027938	1.914612888	-50.46259591	-8.217249583	-2.129312398	2.460624664	-48.33328351	-10.67787425	GOA_10
GOA	1	soil profile	3	20	NA	soil gas	NA	NA	6.916534159	-24.72645664	0.526274285	6606.878303	for CH4	2022	8	33	2022_33	2022_8	0.891942056	0.883603347	0.590031921	7477.199276	-42.68702794	8.82964676	-33.68538711	1693.232805	-1.187027938	1.914612888	8.103562097	-26.64106953	-12.59377531	-0.730105823	20.69733741	-25.9109637	GOA_20
GOA	1	AMB	3	NA	NA	air	NA	NA	-51.91614078	-6.454338901	1.850214318	403.9530546	for CH4	2022	8	33	2022_33	2022_8	0.891942056	0.883603347	2.074366048	457.1656005	-42.68702794	8.82964676	-33.68538711	1693.232805	-1.187027938	1.914612888	-50.72911284	-8.368951789	-2.072719565	2.445370864	-48.65639328	-10.81432265	GOA_NA
GOE	1	soil profile	3	5	NA	soil gas	NA	NA	-38.46724048	-22.82047511	1.570801458	3005.601193	for CH4	2022	8	33	2022_33	2022_8	0.891942056	0.883603347	1.761102582	3401.527625	-42.68702794	8.82964676	-33.68538711	1693.232805	-1.187027938	1.914612888	-37.28021254	-24.735088	-2.62933735	-0.443411369	-34.65087519	-24.29167663	GOE_5
GOE	1	soil profile	3	10	NA	soil gas	NA	NA	-30.06678902	-24.03093589	1.415734316	5453.730509	for CH4	2022	8	33	2022_33	2022_8	0.891942056	0.883603347	1.587249201	6172.147865	-42.68702794	8.82964676	-33.68538711	1693.232805	-1.187027938	1.914612888	-28.87976108	-25.94554878	-3.050882322	-0.679034794	-25.82887876	-25.26651398	GOE_10
GOE	1	soil profile	3	20	NA	soil gas	NA	NA	430.2642473	-52.93020053	0.558330715	39937.86966	for CH4	2022	8	33	2022_33	2022_8	0.891942056	0.883603347	0.625971958	NA	-42.68702794	8.82964676	-33.68538711	1693.232805	-1.187027938	1.914612888	431.4512752	-54.84481342	-11.53922261	-0.933688032	442.9904978	NA	GOE_20
GOE	1	AMB	3	NA	NA	air	NA	NA	-52.46310887	-8.299832092	1.837902457	444.3512085	for CH4	2022	8	33	2022_33	2022_8	0.891942056	0.883603347	2.060562617	502.8853842	-42.68702794	8.82964676	-33.68538711	1693.232805	-1.187027938	1.914612888	-51.27608093	-10.21444498	-2.093165087	2.185178406	-49.18291585	-12.39962339	GOE_NA
GOA	2	soil profile	3	5	NA	soil gas	NA	NA	-52.3413372	-19.64084931	1.526565817	1425.199548	for CH4	2022	8	33	2022_33	2022_8	0.891942056	0.883603347	1.711507835	1612.940414	-42.68702794	8.82964676	-33.68538711	1693.232805	-1.187027938	1.914612888	-51.15430926	-21.5554622	-2.739401208	0.119503254	-48.41490805	-21.67496545	GOA_5
GOA	2	soil profile	3	10	NA	soil gas	NA	NA	-50.02268564	-19.38551348	1.600434406	1322.251742	for CH4	2022	8	33	2022_33	2022_8	0.891942056	0.883603347	1.794325534	1496.431343	-42.68702794	8.82964676	-33.68538711	1693.232805	-1.187027938	1.914612888	-48.8356577	-21.30012637	-2.559559413	0.200536912	-46.27609829	-21.50066328	GOA_10
